"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/13/2024","AQS","180190008","1","0.026","ppm","24","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/14/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/15/2024","AQS","180190008","1","0.03","ppm","28","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/17/2024","AQS","180190008","1","0.033","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/18/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/19/2024","AQS","180190008","1","0.035","ppm","32","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/20/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/21/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/22/2024","AQS","180190008","1","0.033","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/23/2024","AQS","180190008","1","0.024","ppm","22","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/24/2024","AQS","180190008","1","0.024","ppm","22","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/25/2024","AQS","180190008","1","0.014","ppm","13","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/26/2024","AQS","180190008","1","0.02","ppm","19","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/27/2024","AQS","180190008","1","0.012","ppm","11","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/28/2024","AQS","180190008","1","0.029","ppm","27","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/29/2024","AQS","180190008","1","0.026","ppm","24","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/30/2024","AQS","180190008","1","0.018","ppm","17","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"01/31/2024","AQS","180190008","1","0.023","ppm","21","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/01/2024","AQS","180190008","1","0.027","ppm","25","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/02/2024","AQS","180190008","1","0.025","ppm","23","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/03/2024","AQS","180190008","1","0.029","ppm","27","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/04/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/05/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/06/2024","AQS","180190008","1","0.025","ppm","23","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/07/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/08/2024","AQS","180190008","1","0.046","ppm","43","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/09/2024","AQS","180190008","1","0.035","ppm","32","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/10/2024","AQS","180190008","1","0.031","ppm","29","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/11/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/12/2024","AQS","180190008","1","0.029","ppm","27","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/13/2024","AQS","180190008","1","0.04","ppm","37","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/14/2024","AQS","180190008","1","0.038","ppm","35","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/15/2024","AQS","180190008","1","0.041","ppm","38","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/16/2024","AQS","180190008","1","0.033","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/17/2024","AQS","180190008","1","0.038","ppm","35","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/18/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/19/2024","AQS","180190008","1","0.034","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/20/2024","AQS","180190008","1","0.048","ppm","44","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/21/2024","AQS","180190008","1","0.054","ppm","50","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/22/2024","AQS","180190008","1","0.038","ppm","35","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/23/2024","AQS","180190008","1","0.038","ppm","35","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/24/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/25/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/26/2024","AQS","180190008","1","0.054","ppm","50","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/27/2024","AQS","180190008","1","0.036","ppm","33","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/28/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"02/29/2024","AQS","180190008","1","0.036","ppm","33","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/01/2024","AQS","180190008","1","0.027","ppm","25","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/02/2024","AQS","180190008","1","0.021","ppm","19","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/03/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/04/2024","AQS","180190008","1","0.035","ppm","32","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/05/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/06/2024","AQS","180190008","1","0.016","ppm","15","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/07/2024","AQS","180190008","1","0.026","ppm","24","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/08/2024","AQS","180190008","1","0.028","ppm","26","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/09/2024","AQS","180190008","1","0.034","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/10/2024","AQS","180190008","1","0.041","ppm","38","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/11/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/12/2024","AQS","180190008","1","0.049","ppm","45","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/13/2024","AQS","180190008","1","0.055","ppm","51","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/14/2024","AQS","180190008","1","0.04","ppm","37","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/15/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/16/2024","AQS","180190008","1","0.046","ppm","43","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/17/2024","AQS","180190008","1","0.043","ppm","40","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/18/2024","AQS","180190008","1","0.033","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/19/2024","AQS","180190008","1","0.045","ppm","42","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/20/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/21/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/22/2024","AQS","180190008","1","0.034","ppm","31","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/23/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/24/2024","AQS","180190008","1","0.048","ppm","44","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/25/2024","AQS","180190008","1","0.053","ppm","49","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/26/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/27/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/28/2024","AQS","180190008","1","0.047","ppm","44","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/29/2024","AQS","180190008","1","0.054","ppm","50","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/30/2024","AQS","180190008","1","0.055","ppm","51","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"03/31/2024","AQS","180190008","1","0.044","ppm","41","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/01/2024","AQS","180190008","1","0.04","ppm","37","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/02/2024","AQS","180190008","1","0.038","ppm","35","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/03/2024","AQS","180190008","1","0.04","ppm","37","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/04/2024","AQS","180190008","1","0.035","ppm","32","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/05/2024","AQS","180190008","1","0.032","ppm","30","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/06/2024","AQS","180190008","1","0.05","ppm","46","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/07/2024","AQS","180190008","1","0.046","ppm","43","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/08/2024","AQS","180190008","1","0.051","ppm","47","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/09/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/10/2024","AQS","180190008","1","0.029","ppm","27","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/11/2024","AQS","180190008","1","0.045","ppm","42","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/12/2024","AQS","180190008","1","0.039","ppm","36","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/13/2024","AQS","180190008","1","0.052","ppm","48","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/14/2024","AQS","180190008","1","0.057","ppm","58","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/15/2024","AQS","180190008","1","0.06","ppm","67","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/16/2024","AQS","180190008","1","0.053","ppm","49","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
"04/17/2024","AQS","180190008","1","0.051","ppm","47","Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory","17","100.0000","44201","Ozone","047","31140","Louisville/Jefferson County, KY-IN","18","Indiana","019","Clark","38.3938222909186","-85.66411754"
